Word, Frequency
boat, 3
slopes., 1
amazing, 4
Great., 3
invalid;, 1
forever, 13
speeches, 3
stands, 10
wishes;, 1
meeting,, 4
ordered--and, 1
night--some, 1
Chevalier, 1
meeting., 5
comments, 3
bark., 2
picture!, 1
body, 66
bark,, 2
petitioner, 1
rocked, 2
m'a, 1
"my, 11
widely,", 1
hounds,", 1
principes,, 1
valor,", 1
bog., 2
straggly, 1
cause.", 1
benumbed, 1
army--news, 1
key, 3
Aide-de-camp!, 2
intriguing--I, 1
singer,, 1
friends...", 1
radiant,, 2
play!", 1
infringement,, 1
pieces,, 4
singer", 1
Glinka,, 1
universities,, 1
friends...., 1
Zhilinski--le, 1
petitioned, 1
receptive, 2
solemn,, 4
"Made, 1
disclosed, 5
"of, 1
meetings, 3
walk, 28
wall, 19
giggler...., 1
pieces., 6
obstinacy!, 1
"Vesenny?, 1
illustrious, 2
"What's, 26
quarrels,, 2
steps,, 18
Dover, 1
steps., 21
solemn;, 1
boiled,, 1
whipping, 1
MARY, 2
enhance, 1
Beausset,, 5
Karay, 7
insisted,, 2
enjoyable!", 1
wake, 17
"le, 1
Perhaps,, 1
artist, 2
Beausset., 1
they--which, 1
nose.", 1
mending, 2
singers, 5
inconvenience--in, 1
funny, 10
Welt!", 1
desired,, 1
everything--Magnitski,, 1
desired., 2
steppe, 3
throng, 7
throne, 7
ignores, 1
bitterly, 2
Sparrow, 4
"ma, 2
laying, 8
howwible,, 1
disposed, 9
"je, 1
succeed!, 1
frosts, 3
briskly., 1
believed),, 1
learning,, 2
"Were, 2
Volkonski, 7
"it, 15
"is, 13
confirmed, 19
deliver, 7
cause!", 1
briskly,, 1
Meeting, 5
allured, 1
"in, 2
soldiers--wounded, 1
earnestly, 2
chuckle,, 2
learning:, 1
knives, 3
Bourienne!..., 1
frosty, 4
Vincent,, 1
exercising, 3
petitions,, 1
seven,, 1
Loud,, 1
emotion, 14
Lvovna, 1
"Put, 4
tethered, 2
affording, 3
maidservants, 2
which--in, 2
Rome!", 1
self-assured, 6
"he, 14
indolent, 1
play,", 2
constraint, 5
pictures, 11
insistent, 1
seven., 1
"go, 1
neighboring, 10
pictured, 14
cross-legged, 1
whom?", 3
seven;, 1
luck!", 3
countryside--"See,, 1
usual, 88
jacket, 10
(indicating, 1
entreated., 1
tedious,, 1
"if, 9
mo-o-st, 1
reflecting,, 1
procured, 6
master!, 2
within, 75
footgear, 1
mounted., 3
mounted,, 1
femme,", 1
episode., 1
Vasilyevich, 3
Campan, 4
generosity., 1
curled-up,, 1
aghast., 1
valor--what, 1
crown--an, 1
occurs--the, 1
wag., 2
backwards,, 2
diagonal, 1
trials, 1
barefoot, 5
together--the, 1
appropriate, 3
lacerating, 1
whew..., 2
innermost, 1
leg--had, 1
offering, 13
Durosnel's, 1
magic-lantern, 1
Breathless, 1
party.", 1
whichever, 1
not,", 6
'make, 1
emerging, 6
wrath., 4
emptiest, 1
subverting, 1
generosity,, 3
bridge, 69
dark-haired, 1
exhibiting, 1
wrath,, 2
worn--he, 1
life...", 1
equivalent, 2
recalled, 46
"Make, 1
winking., 2
Vera--that, 1
episodes, 1
saddles,, 4
"Well, 27
swept, 5
strategics,, 1
this...", 6
baron, 1
"Nothing, 7
compliance., 1
Tikhon, 50
unknown,, 7
unknown., 6
this...., 1
him--thereby, 1
perseverance, 1
Sokolniki., 2
Ivanich!", 1
conceivable., 2
Sokolniki,, 1
"diplomat,", 1
Speranski--was, 1
occur., 3
reception, 39
duration, 2
occur,, 2
exhausted,, 7
abbe's, 1
altars,, 1
exhausted., 3
not.", 1
"Mais, 2
occur:, 1
occupy, 16
grunt, 2
"do, 7
guide, 9
Special, 1
which--as, 1
decorous, 1
fight, 56
Kaluga--a, 1
coherence, 2
self-forgetfulness, 1
occurs, 12
now--he, 1
showed, 107
turning, 174
intervened, 2
hats., 3
brick:, 1
Gabriel, 4
just...", 1
useful.", 2
"Greatness,", 1
murmur, 2
German--I, 1
brain, 3
avalanche, 1
Sukharev, 6
turn, 86
tut,, 1
Stepanych, 1
pity,", 1
tut!, 1
afraid, 116
elder,, 5
shower, 2
elder., 1
ways, 10
madame.", 1
born, 6
way,, 69
gnawing, 3
way., 67
Empire., 2
"Matvevna", 1
Empire,, 2
Higher, 3
way), 2
knouted,, 1
bore, 26
Siberia., 2
Guard's, 3
rounder, 1
splashed, 5
Brunn...", 1
battered, 1
consequently, 14
way!, 7
vivid,, 2
Siberia,, 2
Telyanin's, 8
displacement, 1
smarten, 1
bricks, 1
"Royalty, 1
rounded, 2
rash,, 1
nothing....", 3
crowding,, 2
displeasure., 1
walk--with, 1
displeasure,, 1
boss, 1
pity.", 2
predicted, 1
d'Enghien, 3
myself...., 1
way?, 2
wished., 1
dashed, 12
way;, 1
associating, 2
way:, 1
mixture, 1
madame,", 1
myself...", 1
Allies,, 2
wished,, 3
Davydov, 1
West,, 1
both, 221
Ooh!, 2
five-ruble, 1
simplest, 11
wailed, 4
Drubetskoy., 3
coachman, 21
Drubetskoy,, 7
that'll, 5
Melyukovs'.", 1
schoolroom?, 1
eldest, 27
despondent!, 1
starwise, 1
master,, 19
nobles,, 3
bow., 3
master., 11
nobles., 1
association, 1
bow,, 1
murderers,, 1
civility, 1
labels, 3
indecision., 5
Ignatych?", 1
indecision,, 3
master), 1
tribes, 1
skill,, 1
skill., 2
peevishly., 1
enough?", 1
desires,, 4
bursts, 4
Zikin,, 1
desires., 3
box,, 13
box., 8
ambulance, 5
composure,, 3
mercies, 1
restive:, 1
glad...., 1
Electricity, 1
"Catiche, 1
lightly., 2
panorama, 4
explain"..., 1
lightly,, 5
"Mary, 3
prefers,, 1
brace, 2
boy!, 3
boy", 1
fearful, 4
accent, 3
severe, 16
boy), 1
imbecility, 1
glaring, 2
Alexeevich, 23
burst., 1
formalities, 2
path,", 1
boy., 15
bowl, 2
boy,, 30
Bondarchuk's, 1
cousinage, 1
enclosures,, 1
rows,, 4
bows, 4
coachmen, 4
noblest, 1
plainly, 24
boy?, 2
discovering, 2
frost-, 1
frost,, 5
mastery, 1
Today,, 1
masters, 10
tight, 11
schoolroom,, 1
but...", 4
sleek,, 1
canceled., 1
elders, 7
chosen,, 5
trace., 1
chosen., 3
accept, 24
women--even, 1
bases, 1
war), 1
trace,, 1
baser, 1
war., 33
war,, 45
"Vienna, 1
undertones, 1
ground--"That's, 1
"Ma-da-gas-car,", 1
feeble,, 4
was!, 2
ancient, 21
intimate, 37
war:, 1
war;, 3
expectations, 3
considers, 8
speaking, 127
war?, 3
opera,, 1
landlady,, 1
answer...., 1
Chevaliers, 2
was,, 62
was., 33
boil, 1
Pray!..., 1
conveniently, 1
Brigade?, 2
ho!", 1
ward, 4
sportsmen, 1
peasant., 1
infant's, 1
was:, 8
superabundance, 1
alive?..., 1
was;, 1
peasant,, 7
unsatisfactory,, 1
was?, 1
Muscovites,", 1
gown!", 1
gibe., 1
traces, 6
boiled, 3
guided,, 1
Drubetskoys, 1
rarely, 20
reminiscences., 3
obstinacy, 1
comprehensible--it, 1
consider,, 3
incontestable., 2
latter, 57
boston, 4
sailing, 3
disposal, 1
length, 14
wardrobe, 3
crockery,, 1
guided?, 1
boiler, 1
paper,", 1
want, 211
peasants, 76
looking,, 3
fortnight.), 1
looking., 2
smartly, 5
"Colonel,, 1
bachelor,", 1
Congress, 1
civilities!", 1
magnanimity, 11
access, 11
rickety, 1
striding, 1
think...?", 1
wholly, 3
cupboard, 2
goot?, 1
war!, 6
Quarante, 1
feverishly., 1
shown,, 2
feverishly,, 1
based, 25
goose, 3
bolt, 1
"we, 14
hated, 9
detriment, 2
Ostrolenka, 1
compliance, 3
capitulation, 2
cross-purposes,, 1
bold, 17
dagger,", 1
Bolkonski, 71
grating, 1
shows), 1
alliance..., 1
custom, 5
property--take, 1
thrown, 45
succeed, 4
throws, 2
campaigns, 3
"Oh--why,, 1
advising, 3
soap,, 1
hate?, 1
vistas, 1
reporting., 1
hooked, 3
sportsman, 2
madame!", 1
quartermaster, 8
indebted, 2
"Dearest,", 1
ever-changing,, 1
hanging,, 1
wave, 12
base,, 1
reporting:, 1
reminiscences,, 2
base., 2
hate., 1
friend, 64
wax,, 4
bons, 2
warn, 6
swallow-tail, 6
boston., 1
parade..., 1
warm, 32
noteworthy, 2
intervene., 1
loins, 1
interrogative, 1
reporting,, 1
orchestra, 6
bony, 7
hate!, 1
wars, 14
cockroaches, 3
bond, 4
campaign,, 29
expectation., 2
crouching, 1
campaign., 14
"uncle";, 1
expectation,, 3
wary, 1
wash, 3
fortnight's, 1
"Dieu, 2
health!", 1
stamp., 1
Salzeneck., 1
boot, 11
mistake, 16
Weyrother:, 1
Salzeneck,, 1
"Ozheg-zheg-zheg...", 1
immoral, 1
campaign;, 1
flail., 1
"to, 17
Voyna, 1
distrust, 2
Weyrother,, 12
"Made,, 1
before--she, 1
"Just, 19
mischief-makers, 1
observe, 13
Weyrother., 3
book, 36
boom, 2
boon, 1
schools,, 2
sullenly, 2
Land;, 1
unloading, 1
theaters--but, 1
bright, 54
marriage?, 1
dined--looking, 1
victoire, 1
"Prince,", 1
reflection,, 1
voluntarily,, 1
reflection., 2
eagerness,, 1
stop!", 3
marriage,, 8
scene...., 1
prestige--do, 1
marriage., 11
figures;, 1
l'ennemi!", 1
hungry, 14
objects, 2
intelligence, 6
"Angina?, 1
Traitor,, 1
permission., 3
reassembled, 1
permission,, 3
track., 1
track,, 2
Murmurs, 1
shots,, 4
aspect, 3
Pausing, 1
shots., 3
her--the, 1
opening, 28
bitter, 10
dissensions, 1
nose;, 1
bitten, 1
Rostova's,", 1
funnier., 1
refrain, 16
nose., 13
ha,, 10
nose,, 16
ha!, 8
feared,, 2
authority, 20
feared., 1
ministers!", 1
nocturnal, 1
ascending, 6
Dmitrich,, 3
merriment, 2
resourceful,, 1
marriages, 1
chamber, 3
define, 5
him--Pierre--depriving, 1
creature,, 3
Sonya's., 1
already., 4
March,, 5
already,, 5
XVI., 1
XVI,, 1
'come, 1
animated;, 1
gratify, 2
morning, 121
cabinet,", 1
Ulm..., 1
XVII, 24
lessons,", 1
forest..., 1
de-tra-va-, 1
animated,, 7
XVI?, 1
animated., 10
Russians--and, 1
shooting, 3
ham, 2
rowdy, 1
discreet, 1
entered..., 1
resulted--that, 1
delight., 5
delight,, 6
enchanting, 8
well-ordered, 3
has, 671
hat, 33
irredeemably, 1
European,, 1
extent,", 1
Zdrzhinski's, 3
component, 2
grand!", 3
had, 5305
processes, 1
Probably, 7
have!, 1
defile, 2
sacredness, 1
wrinkling, 2
pleasant., 2
discern, 3
pleasant,, 11
points., 1
side--the, 2
hay, 17
points,, 1
orator, 2
pleasant;, 1
compulsory, 2
invited,, 1
pieces!", 1
cranks,, 1
he., 113
preferred?, 1
cranks., 1
delights, 1
nowadays--but, 1
reflections, 10
cher!", 1
have?, 1
he:, 1
hair?", 1
he;, 3
me?"--said, 1
preferred., 1
common:, 1
he", 3
he!, 6
youths,, 2
itself., 17
common., 1
father--and, 1
have,, 5
champagne., 1
receive.", 1
slumbering,, 1
stubborn, 3
common,, 1
itself,, 18
have., 3
he,, 157
activity, 74
Vicomte, 2
music, 27
ammunition, 11
explained,, 1
"June,", 1
funniest, 1
clenched, 3
itself;, 1
viewed, 1
portfolio., 3
portfolio,, 1
tracks, 1
balloon,, 1
increases., 2
therefore, 68
he?, 8
expression),, 1
doute,, 1
efforts--which, 1
apartments?", 1
eternal, 9
damaged, 2
witing, 1
somehow, 9
singers!", 1
horses--in, 1
surroundings--fruit, 1
proverb?, 1
resolutely, 15
traversed, 1
haute, 1
diverted, 5
calculation, 3
grandiloquent, 1
fortify, 4
hew, 1
Sovereign, 3
breakfasts,, 1
her, 3883
voluntary, 2
fair-haired, 6
hen, 1
hem, 3
enmity,, 1
sensibly, 3
upright,, 1
pointed, 59
establishing, 1
broad-haunched, 1
Today's, 1
"Form, 1
speaker,, 3
warrior, 3
chale,, 1
it--repeatedly, 1
sensible, 6
speaker., 3
reprimanding, 1
pointer, 1
increased,, 5
compensate, 1
Daniel, 27
sides..., 3
increased., 2
Benefit, 1
Council, 10
cutlets,, 2
"Four, 1
Asch,, 2
subscribe, 2
reinspected.", 1
caustique?", 1
"Darkness, 1
seventeenth, 1
gallery, 2
arbitrariness, 1
enemy?..., 1
sedate, 1
show!", 1
grand.", 1
unwounded--it, 1
sobbed, 8
embassage., 1
cuisse, 1
blasphemies;, 1
preserving, 1
views., 2
refuting, 4
efficiency, 1
calculating, 2
Standing, 3
pseudo-, 1
savagely, 1
interior, 1
hid, 24
views,, 5
gowns., 1
good-, 3
pieces,", 1
him, 2722
good., 17
type, 5
motions, 1
good', 1
must,, 5
must., 2
good,, 27
his, 7632
hit, 10
practically, 2
primary, 1
good), 1
regeneration,, 1
women--countesses, 1
regeneration., 1
medicine, 9
good!, 7
ACTUAL,, 1
nonrecognition, 1
pensively, 3
ranks--the, 1
yards!", 1
"Dere, 1
pleasure, 85
motion;, 1
Grenadier, 1
dinner, 89
unmistakably, 1
contradiction:, 1
lessons.", 1
unseemly, 4
good?, 1
undefended, 1
contradiction,, 4
"Mr., 5
contradiction., 1
Thursday--, 1
goods, 9
Forty-two., 1
Bogdanich), 1
Lavrushka, 20
rapturously,, 1
nocturnes, 1
rapturously., 1
Bogdanich., 1
Bogdanich,, 2
Bogdanich", 1
motion., 4
arrest, 5
pleasure?", 1
apologizing,, 1
bruised, 3
object., 5
object,, 3
motion), 1
prizing, 1
(Joseph, 1
motion,, 5
expression!", 1
"Aren't, 2
Let's, 7
where..., 1
arsenic, 1
enrich, 1
noses, 3
"Mon, 6
disagreeable,, 1
sharpening, 3
must!, 1
disagreeable., 1
scream..., 1
praiseworthy, 1
stifling, 2
"Mot, 2
Poniatowski,, 2
night, 124
ho!, 3
moderately, 1
Ferdinand's, 1
disrespectful, 1
pedantically,, 1
corpses., 1
success--a, 1
corpses,, 2
reminder., 1
go!, 6
anxious!, 1
winked, 7
funny--but, 1
"Raising, 1
later!", 1
Mere, 1
anxious,, 2
anxious., 1
pinning, 2
monstrous, 4
impenetrable, 3
unobtrusively, 1
trustee., 1
responsibility, 18
Madrid., 1
Armfeldt,, 3
goods., 1
anxious?, 1
churches, 9
appreciative, 1
liberating, 1
goods,, 1
Kirsten,, 2
PEACE, 3
Gospels, 1
relief,", 1
Kirsten., 2
Dunyasha....", 1
compassion., 1
twenty-six, 1
quitting, 1
Dukes, 1
enrolled, 6
famished,, 1
Epistles, 1
"Ride, 1
swarthy, 4
adventures., 2
trusted., 1
adventures,, 1
Madrid,, 1
trick!, 1
convent., 1
chased,, 1
psychological,, 2
contradictions, 5
stiffness, 1
improper., 1
chased., 1
know!", 6
rat"), 1
trick., 2
atrocities, 1
Military, 9
Jewish, 1
yes--I, 1
easily,, 3
easily., 4
wedge, 1
begging,, 1
go?, 4
Dron.), 1
begging., 2
I'd..., 1
crickets,, 1
go:, 1
liberation, 3
incidents., 1
grabbed, 4
weep, 12
challenge, 10
lighting, 11
go,, 46
unaware, 4
go., 31
down, 546
entreat--, 1
week, 21
measures--the, 1
along., 1
Dron--, 1
Open, 2
skillful, 11
climbed, 9
(Their, 1
dolefully, 1
along;, 1
home..., 1
scandals, 1
aim?", 2
along!, 2
honor.'", 1
progress., 1
oh-ing, 1
assignation, 1
Ignat?", 1
"Mmm...ar...ate...ate...", 1
along,, 9
heightened, 4
mallets, 1
maidservant, 5
Terentich, 1
flogging, 2
sentinels., 2
meaningless, 10
dryly, 2
library,, 2
library., 1
progress,, 4
Continued, 1
Believing, 1
alien., 2
pure-souled, 1
incursions, 1
woodcutting,, 1
connections..., 1
thinner, 4
dove, 1
outstripping, 1
alone;, 2
verses..., 1
got, 197
thirty-five,, 1
fractured, 1
luck,", 1
gracefully, 5
alone,, 38
believe..., 1
separation., 2
alone., 23
sister's,, 1
separation,, 1
mistresses., 1
dose, 1
sincerity, 4
himself"--, 1
slashed, 1
alone!, 5
Men., 1
unpardoned., 1
surface,, 1
Continual, 1
alone), 1
uncertainty, 5
better-looking., 1
gypsies!", 1
tricks, 1
Surely, 3
sorted, 1
disgracing, 1
surface., 1
Karagins'., 1
Karagins',, 2
swish, 1
defects, 3
mattered, 2
immediate, 10
child!", 1
wead, 1
Denisov--"but, 1
separation!, 1
learned, 57
chanter--was, 1
weak, 33
weal, 2
Karagins'!, 1
wear, 10
half-hour., 1
uninterruptedly, 1
recitation!", 1
child.", 1
incredulously., 2
committee., 1
divan,, 2
defect,, 1
audacity,, 1
audacity., 1
knives,, 1
Formio, 1
unbuttoning, 1
sedate,, 1
Dron's, 2
trade,, 3
ambassador., 1
(incommensurable, 1
deferentially, 2
not?", 12
ambassador,, 4
fifty, 23
committee,, 3
audacity!, 1
luck.", 1
thanked,, 2
expression.), 1
Saint, 4
dwink!", 1
balloons, 2
ranks!..., 1
promissory, 2
Balaga, 13
bushes,, 3
staff...", 1
gaiety, 8
incredulously;, 1
backed, 1
Metivier, 6
misericorde,", 1
compatriot., 1
bushes., 3
matter--that's, 1
self-preservation,, 1
child,", 1
deep-toned, 1
him--also, 1
sons!', 1
transport, 14
prepared...", 1
Tolstoy., 1
Tolstoy,, 4
saddled., 2
house...., 3
hair's, 5
despise, 7
jury, 1
unconsciously,, 1
just, 461
thanked!, 1
admit--he, 1
fifth, 18
merry., 2
mallet., 1
phrases), 1
trilling,, 1
Pierre--that, 1
merry,, 5
committed., 2
gut, 2
tossed, 5
house...", 1
notions, 1
gun, 26
adulation, 1
sentinel, 5
phrases,, 1
ratiocination, 1
compatriots, 1
vituperation,, 1
swift, 5
despite, 60
dangerously, 1
phrases., 2
"Courage,, 1
ironical, 9
Lauriston,, 1
lessons?", 1
hair'?, 1
lieutenant,, 1
lieutenant., 1
swims, 1
preserve, 11
nankeen-covered,, 1
genius--of, 1
softening, 4
child's, 6
unpopular, 1
self-adulation,, 1
jingling, 7
O'er, 1
appraised, 1
swing, 3
honor..., 1
vessels,, 1
shifts, 1
ambassadors, 1
conscwiption..., 1
"May, 11
advantageous., 1
facetious, 1
homestead, 3
jump, 6
Miloradovich., 1
Duport, 1
Arakcheev., 4
convened, 1
snaffle, 1
smack, 1
Miloradovich,, 5
Andreevich--(He, 1
exquisite?", 1
Arakcheev,, 15
portly,, 1
diametrically, 1
Danish, 1
defense,, 2
committees, 1
calmer., 1
calmer,, 1
"need, 1
acceptance, 1
causes,, 2
causes., 5
Gospel:, 2
lighthearted, 3
neighborhood., 2
Gospel,, 1
commissioned, 2
(heaven, 1
gambling, 2
causes;, 1
flashing, 2
lieutenant;, 1
guard--if, 1
causes?, 1
precedents,, 1
purpose,", 1
friends--that, 1
hives;, 1
manifesto?", 2
lot,, 1
enraptured,, 2
said, 2406
solemn, 34
predictions, 1
dogs, 12
Ulm...", 1
noted, 7
sorts,, 3
vehemently, 1
foi!", 1
stooping, 11
personality, 6
Empress., 2
deliverance, 2
singles, 2
Empress,, 3
accessed,, 1
Empress), 1
sait, 4
hives., 1
Empress', 5
muttered:, 1
blue-striped, 1
solely, 12
chemical, 3
sail, 1
Daddy?'--'I,, 1
obscurity., 1
direct,, 1
detected, 4
concealing, 10
brother-in-law,, 1
slender,, 4
flourished, 5
pleasure),, 1
'When,, 1
disagreeably,, 1
depend), 1
crockery, 1
note:, 1
Fortune, 1
pancake!", 1
imploring, 7
solidity, 1
crossly, 3
Novosiltsev's, 1
"Uncle,", 7
not--but, 1
artificial, 12
pua', 1
lope, 2
weaker?, 1
Amuse, 1
Tilsit,, 2
countermovement, 4
cowards,, 1
annoying!", 1
Tilsit., 4
pushing,, 1
"that's, 7
shouts, 33
loot, 1
weaker., 1
depend,, 1
foolish--but, 1
dangling, 1
pleasure,", 3
grows,, 2
look, 359
readable, 2
safe, 7
violence, 4
administration., 1
shout:, 1
"Exactly,, 1
suppose?", 2
Archduchy, 1
administration,, 1
intriguing!", 1
handsome, 84
notes, 18
captivity., 1
"Uncle.", 6
captivity,, 2
gravely, 2
player, 2
duty,, 19
later.", 2
boys..., 1
action--seeing, 1
know,", 23
edge,, 1
duty., 9
son's., 1
long, 453
jugs, 1
death?--death, 1
shout., 2
father-in-law., 2
"Monseigneur!", 1
father-in-law,, 2
adroitness, 2
Bank,, 3
shout,, 4
edge., 3
depends, 17
duty", 1
doll-like, 1
coffeepot,, 1
toes., 2
know-", 1
teased, 1
toes,, 5
unfinished, 6
ask--how, 1
impostors?", 1
prediction., 1
entered--a, 1
played, 41
I've, 33
maximum, 3
know.", 6
ruined.", 2
Prussia--undertaken, 1
counterattack., 1
Alexander, 84
collect, 9
does, 197
later,", 3
edged, 1
"No!, 6
dog;, 1
dog,, 7
note., 4
dog., 1
expects, 5
note,, 6
sad?, 2
jug,, 1
confidentially., 1
sack, 2
those!...", 1
ich, 1
unpleasant,, 1
edges, 1
ice, 9
directs, 3
unpleasant., 2
well-brought, 1
members, 46
termination, 2
muttered,, 16
muttered., 7
obscurity,, 1
if,, 6
gentlewoman, 1
sad,, 13
French--in, 1
Division,, 1
T-wo!, 1
quantities., 1
sad., 9
flags,, 1
visibly., 1
dread...", 1
Hills, 44
growth, 2
commissions., 1
dislocation, 1
commissions,, 1
gauze,", 1
greatly., 1
door, 186
touchingly, 2
"watching, 1
unreasoning,, 3
member,, 1
crosses, 8
intriguer;, 1
Bang,, 1
member., 2
forgotten, 34
("That, 1
doom, 1
sincere., 1
rouse, 5
"Sorrow, 1
within..., 1
"diplomatic, 1
expect,, 2
intriguer,, 1
expect., 4
sov'weign", 1
baffled--then, 1
distorted., 1
pleasure!", 1
paunch, 1
done, 225
disillusion, 1
Highness, 26
temerity,, 1
"No., 4
"No,, 171
know),, 1
sincere,, 2
dont, 2
crossed, 62
trooper, 2
defense--as, 1
"No?, 1
delay, 19
warfare, 6
small, 156
"No;, 1
intrigues,, 6
uselessly., 3
rebirth, 1
gradually, 20
hitched, 1
appreciating, 1
click, 5
necessity, 42
smile--his, 1
diverse,, 1
mentally--, 1
Impudence!", 1
errors,, 1
brigands!...", 1
errors., 1
gone?, 3
directed., 1
child?", 3
stern,, 9
ruined,", 1
stern., 1
thankful, 2
honor?...", 1
appreciation, 2
Bridgehead., 1
goodness!, 1
vague, 17
Vogels, 1
"Nor, 1
malignant, 1
"Not, 34
teaching, 9
impressing, 1
'Where, 2
route, 2
"Now, 60
Poland, 8
disheveled,, 1
uselessly,, 1
interpreter.", 1
catastrophe,, 1
goodness,, 8
puff, 4
goodness., 1
catastrophe., 1
Private, 1
lout, 1
comprehension., 3
matter.", 1
distributed:, 1
tante,, 1
Duke,, 3
deletions, 1
Duke., 1
love, 345
radiating, 1
distributed., 2
we'd, 2
distributed,, 1
perfectly, 23
inn, 7
lots, 1
penetrated,, 1
remembering, 15
gone;, 1
samovar--and, 1
distress,, 3
purse,", 1
second-grade, 1
distress., 2
best-organized, 1
stillness, 10
loud, 40
elegant,, 2
demanded--namely,, 1
low,, 9
gone,, 12
flexible,, 1
Niemen., 1
gone., 6
Niemen,, 7
Morel, 9
pockets,, 1
angrily--"that, 1
lost, 99
loss, 37
domo, 1
faster;, 1
"Yes..., 9
in!, 7
backs,, 1
Kammer-Kollezski, 2
faster,, 5
Taras, 3
single., 1
gypsies',, 3
celebrate, 3
cheekbones,, 3
faster., 4
hydra, 1
Faster, 2
dismally, 2
doll, 4
in., 48
ill, 31
in), 1
in,, 62
smash, 3
lot?, 1
rapid, 41
"'I, 4
lose, 26
shrieks., 1
suppressed, 11
disclaimers, 1
loved.), 1
blue, 65
Katie, 1
in?, 4
hostile, 17
loved.", 1
grown., 1
in:, 2
in;, 1
grown,, 3
francais,", 1
smart, 13
instrument--now, 1
It's, 88
increasing., 1
cousine,", 1
increasing,, 2
smartened, 1
Though,, 1
Kamenka,, 1
sleepless, 11
imply:, 1
separating,, 1
words--are, 1
selected., 2
how, 704
selected,, 1
Andrew!"--said, 1
cling, 2
rendered, 10
loan, 1
week,, 3
reeds,, 1
clink, 1
week., 6
pure, 15
surnames),, 1
put,, 1
ordered,", 1
reception., 4
put., 2
reception,, 3
hearing;, 1
hot, 32
toast,, 2
load, 2
suppose,", 3
flattered,, 1
alternated, 1
something.", 2
assembled,", 1
chalks, 1
climb, 2
bristly, 1
chose.", 1
inattentively,, 1
brought, 199
exquisite!", 1
irritate, 3
shrieked, 6
disapprovingly,, 1
singly., 1
singly,, 2
repeatedly,, 1
transferred., 1
disapprovingly., 2
transferred,, 1
denote, 3
refusal.", 1
snuggling, 1
puny, 1
"father.", 1
know?", 4
German--sent, 1
transcend, 1
embracing., 1
voluntarily, 1
Break, 1
consciousness, 58
powder-monkey, 1
engagements., 1
weeks, 27
field, 104
femmes,, 1
peering, 8
orphan, 1
ordered.", 2
despicable, 2
unattainable, 3
modeling, 2
impressive, 1
"waiting."), 1
syllable,, 2
syllable., 1
outlook,", 1
arsenal, 2
ornament,, 1
receptions, 5
Army, 5
sipping, 2
pull, 10
sitting-room, 1
disappearing, 1
round, 351
"As, 23
inspection, 6
poorly, 1
mind...., 1
"At, 20
"Au, 1
"Ah, 5
amount, 6
staining, 1
inclination--practical, 1
"An, 4
"Am, 6
peaceably, 1
and--with, 1
companions.", 1
thanked,", 1
senseless, 21
coquettish,, 1
grinned, 1
luck!..., 1
wizards., 1
furnishing, 1
cajolery, 1
died!", 1
impression, 35
mysteries, 2
pump, 1
Anferovs,", 1
providing, 5
Fatherland, 7
counting, 11
provide,, 1
noisome, 1
inspecting, 5
experienced..., 1
daggers,, 1
campstool,, 2
festive, 4
Courage, 1
hearing,, 3
hearing., 2
greatcoats,, 3
brand-new, 2
aversion, 1
greatcoats., 2
education,, 8
education., 1
Nesvitski's, 5
cher.", 1
companions,", 1
Gloat, 1
white!", 1
System, 1
we?", 1
"Whom, 4
unsuitable., 2
unsuitable,, 1
paths,, 2
ladder, 1
Dronushka, 1
Pressing, 2
ruined?", 1
ecclesiastical,, 1
painful,, 4
"Who?, 3
snub-nosed, 4
something,", 2
knocking, 6
foggy, 3
dilemma, 1
provided, 9
authors,, 2
"Gallop, 1
perpetual, 4
wrapped, 23
sucking, 1
cher,", 9
artful, 2
expanse, 3
servants--the, 1
maxims,, 1
sarcastic, 8
"When, 26
Arab, 3
eating.", 1
She's, 10
struck,, 1
Hill,, 1
brothers, 7
rapidity, 16
Bekleshev, 1
courteous,", 1
tease!, 1
simple,", 1
twenty-ninth, 3
center--the, 1
friendliest, 1
knitting, 6
legitimate;, 1
associations, 2
regicide,", 1
predictions,, 1
insistently, 1
gladly!, 1
white--, 1
tomorrow, 34
on...., 1
"5", 1
unendurable, 1
Irina, 1
contact, 7
"Cover, 1
stoned, 1
pouches,, 2
fiery, 2
southern, 5
"Posterity, 1
wasted, 7
"Looks, 1
gladly,, 1
(these,, 1
delve, 1
papers,, 11
hum, 12
seen?...", 1
papers., 4
logs, 6
hut, 33
disorganized,, 2
unveiling, 1
opponents, 1
privation, 3
haven, 1
should, 511
"What, 286
proprietary, 1
Mamma--what, 1
retaken, 1
stones, 2
vacancies, 1
waste,, 1
Tverskoy, 2
"Look,, 7
outpost, 1
Christ,, 8
waste., 2
piteously--he, 1
milk's, 1
"Look!, 3
uplifts, 1
gazette, 1
spilled, 3
something!", 3
butler, 4
Ilarionovich?", 1
return--was, 1
attempt., 2
puts, 3
statutes., 1
pleasure.", 1
self-destruction, 1
statutes,, 1
"into, 1
Cyril's, 1
stone:, 1
rough, 13
log., 1
producing, 7
irrational,, 2
swiftly,, 1
now--wouldn't, 1
opponent,, 1
swiftly., 1
oak,", 1
stone-, 1
contain, 4
stone,, 5
d'Eckmuhl, 1
Israel!, 1
disdaining, 1
Scherer?, 1
brother!, 2
brother", 1
yard, 34
grazing,, 1
prevailing, 2
Bourienne's, 13
brother,, 25
unlucky, 3
brother., 10
push, 11
